Country,Pollutant,Variable,Year,Unit,Emissions
India,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,1.299
India,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,1.232
India,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,1.527
India,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,1.911
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,2.561
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,3.043
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,2.737
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,1.974
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,2.57
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,6.504
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,4.282
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,5.617
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,4.631
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,5.782
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,5.697
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,6.978
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,5.27
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,5.203
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,6.492
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,4.633
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,5.477
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,5.845
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,5.575
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,7.229
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,9.595
Indonesia,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,5.861
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,8.706
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,8.19
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,8.497
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,7.521
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,8.449
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,7.572
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,8.073
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,7.535
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,7.868
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,7.505
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,8.28
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,6.85
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,9.043
Austria,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,9.403
